key,DivRt2,Erf,Div2,value,index
0.361111111,0.255344115,0.281983613,0.140991806,0.640991806,52
0.368055556,0.260254579,0.28716819,0.143584095,0.643584095,53
0.375,0.265165043,0.292339533,0.146169767,0.646169767,54
0.381944444,0.270075507,0.297497427,0.148748714,0.648748714,55
0.388888889,0.27498597,0.302641658,0.151320829,0.651320829,56
0.395833333,0.279896434,0.307772015,0.153886008,0.653886008,57
0.402777778,0.284806898,0.31288829,0.156444145,0.656444145,58
0.409722222,0.289717362,0.317990273,0.158995137,0.658995137,59
0.416666667,0.294627825,0.323077761,0.16153888,0.66153888,60
0.423611111,0.299538289,0.328150549,0.164075275,0.664075275,61
0.430555556,0.304448753,0.333208437,0.166604218,0.666604218,62
0.4375,0.309359217,0.338251224,0.169125612,0.669125612,63
0.444444444,0.314269681,0.343278713,0.171639357,0.671639357,64
0.451388889,0.319180144,0.34829071,0.174145355,0.674145355,65
0.458333333,0.324090608,0.35328702,0.17664351,0.67664351,66
0.465277778,0.329001072,0.358267454,0.179133727,0.679133727,67
0.472222222,0.333911536,0.36323182,0.18161591,0.68161591,68
0.479166667,0.338821999,0.368179934,0.184089967,0.684089967,69
0.486111111,0.343732463,0.373111611,0.186555805,0.686555805,70
0.493055556,0.348642927,0.378026667,0.189013333,0.689013333,71
0.5,0.353553391,0.382924923,0.191462461,0.691462461,72
0.506944444,0.358463854,0.3878062,0.1939031,0.6939031,73
0.513888889,0.363374318,0.392670324,0.196335162,0.696335162,74
0.520833333,0.368284782,0.39751712,0.19875856,0.69875856,75
0.527777778,0.373195246,0.402346417,0.201173209,0.701173209,76
0.534722222,0.378105709,0.407158047,0.203579024,0.703579024,77
0.541666667,0.383016173,0.411951843,0.205975922,0.705975922,78
0.548611111,0.387926637,0.416727641,0.20836382,0.70836382,79
0.555555556,0.392837101,0.421485278,0.210742639,0.710742639,80
0.5625,0.397747564,0.426224596,0.213112298,0.713112298,81
0.569444444,0.402658028,0.430945437,0.215472719,0.715472719,82
0.576388889,0.407568492,0.435647647,0.217823824,0.717823824,83
0.583333333,0.412478956,0.440331073,0.220165536,0.720165536,84
0.590277778,0.417389419,0.444995565,0.222497782,0.722497782,85
0.597222222,0.422299883,0.449640976,0.224820488,0.724820488,86
0.604166667,0.427210347,0.45426716,0.22713358,0.72713358,87
0.611111111,0.432120811,0.458873976,0.229436988,0.729436988,88
0.618055556,0.437031274,0.463461282,0.231730641,0.731730641,89
0.625,0.441941738,0.468028942,0.234014471,0.734014471,90
0.631944444,0.446852202,0.47257682,0.23628841,0.73628841,91
0.638888889,0.451762666,0.477104783,0.238552392,0.738552392,92
0.645833333,0.45667313,0.481612702,0.240806351,0.740806351,93
0.652777778,0.461583593,0.486100448,0.243050224,0.743050224,94
0.659722222,0.466494057,0.490567897,0.245283948,0.745283948,95
0.666666667,0.471404521,0.495014925,0.247507462,0.747507462,96
0.673611111,0.476314985,0.499441413,0.249720706,0.749720706,97
0.680555556,0.481225448,0.503847243,0.251923621,0.751923621,98
0.6875,0.486135912,0.508232299,0.25411615,0.75411615,99
0.694444444,0.491046376,0.51259647,0.256298235,0.756298235,100
0.701388889,0.49595684,0.516939646,0.258469823,0.758469823,101
0.708333333,0.500867303,0.521261718,0.260630859,0.760630859,102
0.715277778,0.505777767,0.525562583,0.262781291,0.762781291,103
0.722222222,0.510688231,0.529842137,0.264921069,0.764921069,104
0.729166667,0.515598695,0.534100281,0.267050141,0.767050141,105
0.736111111,0.520509158,0.538336919,0.269168459,0.769168459,106
0.743055556,0.525419622,0.542551954,0.271275977,0.771275977,107
0.75,0.530330086,0.546745295,0.273372648,0.773372648,108
0.756944444,0.53524055,0.550916853,0.275458427,0.775458427,109
0.763888889,0.540151013,0.555066541,0.27753327,0.77753327,110
0.770833333,0.545061477,0.559194273,0.279597137,0.779597137,111
0.777777778,0.549971941,0.563299969,0.281649985,0.781649985,112
0.784722222,0.554882405,0.567383549,0.283691775,0.783691775,113
0.791666667,0.559792868,0.571444937,0.285722468,0.785722468,114
0.798611111,0.564703332,0.575484057,0.287742029,0.787742029,115
0.805555556,0.569613796,0.579500839,0.28975042,0.78975042,116
0.8125,0.57452426,0.583495213,0.291747607,0.791747607,117
0.819444444,0.579434723,0.587467114,0.293733557,0.793733557,118
0.826388889,0.584345187,0.591416476,0.295708238,0.795708238,119
0.833333333,0.589255651,0.595343238,0.297671619,0.797671619,120
0.840277778,0.594166115,0.599247342,0.299623671,0.799623671,121
0.847222222,0.599076579,0.603128731,0.301564365,0.801564365,122
0.854166667,0.603987042,0.60698735,0.303493675,0.803493675,123
0.861111111,0.608897506,0.61082315,0.305411575,0.805411575,124
0.868055556,0.61380797,0.61463608,0.30731804,0.80731804,125
0.875,0.618718434,0.618426094,0.309213047,0.809213047,126
0.881944444,0.623628897,0.622193149,0.311096574,0.811096574,127
0.888888889,0.628539361,0.625937203,0.312968601,0.812968601,128
0.895833333,0.633449825,0.629658216,0.314829108,0.814829108,129
0.902777778,0.638360289,0.633356153,0.316678076,0.816678076,130
0.909722222,0.643270752,0.637030978,0.318515489,0.818515489,131
0.916666667,0.648181216,0.640682662,0.320341331,0.820341331,132
0.923611111,0.65309168,0.644311173,0.322155587,0.822155587,133
0.930555556,0.658002144,0.647916486,0.323958243,0.823958243,134
0.9375,0.662912607,0.651498576,0.325749288,0.825749288,135
0.944444444,0.667823071,0.655057421,0.327528711,0.827528711,136
0.951388889,0.672733535,0.658593001,0.329296501,0.829296501,137
0.958333333,0.677643999,0.6621053,0.33105265,0.83105265,138
0.965277778,0.682554462,0.665594301,0.33279715,0.83279715,139
0.972222222,0.687464926,0.669059992,0.334529996,0.834529996,140
0.979166667,0.69237539,0.672502364,0.336251182,0.836251182,141
0.986111111,0.697285854,0.675921408,0.337960704,0.837960704,142
0.993055556,0.702196317,0.679317119,0.339658559,0.839658559,143
1,0.707106781,0.682689492,0.341344746,0.841344746,144
1.015625,0.718155325,0.690192005,0.345096002,0.845096002,145
1.03125,0.729203868,0.697576401,0.348788201,0.848788201,146
1.046875,0.740252412,0.704842766,0.352421383,0.852421383,147
1.0625,0.751300955,0.711991242,0.355995621,0.855995621,148
1.078125,0.762349498,0.719022024,0.359511012,0.859511012,149
1.09375,0.773398042,0.725935361,0.362967681,0.862967681,150
1.109375,0.784446585,0.732731557,0.366365779,0.866365779,151
1.125,0.795495129,0.739410966,0.369705483,0.869705483,152
1.140625,0.806543672,0.745973991,0.372986995,0.872986995,153
1.15625,0.817592216,0.752421086,0.376210543,0.876210543,154
1.171875,0.828640759,0.758752754,0.379376377,0.879376377,155
1.1875,0.839689303,0.764969543,0.382484772,0.882484772,156
1.203125,0.850737846,0.771072048,0.385536024,0.885536024,157
1.21875,0.86178639,0.777060906,0.388530453,0.888530453,158
1.234375,0.872834933,0.7829368,0.3914684,0.8914684,159
